,usage_year,usage_month,geoid10,cust_loc_irr_area_sf,usage_et_amount,usage_ccf,cust_id_from_utility,cust_loc_hhsize,population,pop_LAR,efficiency_target_ccf,usage_date
882,2011,8,60590320121027,136430.0,5.22,650,31,129.0,105,0.205852054204,706.394047059,2011-08-01
883,2011,8,60590320121028,169844.0,5.22,759,32,135.0,145,-0.0714589639821,910.910061176,2011-08-01
884,2011,8,60590320121029,161316.0,5.22,682,32,128.0,101,0.236909747078,784.173797647,2011-08-01
885,2011,8,60590320121030,144403.0,5.21,605,23,96.0,88,0.0870113769896,695.677400392,2011-08-01
886,2011,8,60590320122000,387150.0,5.21,1544,82,329.0,279,0.164845968944,1960.14217647,2011-08-01
887,2011,8,60590320122002,241494.0,5.19,1347,69,298.0,246,0.191761950573,1378.21629882,2011-08-01
888,2011,8,60590320122003,204470.0,5.19,970,42,174.0,178,-0.0227282510776,1100.11325882,2011-08-01
889,2011,8,60590320122004,132918.0,5.19,501,25,100.0,72,0.328504066972,618.719809412,2011-08-01
890,2011,8,60590320122005,213498.0,5.19,1094,54,231.0,189,0.200670695462,1155.61484471,2011-08-01
891,2011,8,60590320122007,342664.0,5.19,1524,54,228.0,203,0.116139649913,1633.41155765,2011-08-01
892,2011,8,60590320122008,520006.0,5.21,1930,78,322.0,309,0.0412102686467,2487.77182039,2011-08-01
893,2011,8,60590320122009,34138.0,5.21,165,11,43.0,32,0.295464212894,189.160888627,2011-08-01
894,2011,8,60590320123001,107665.0,5.21,734,29,119.0,85,0.336472236621,561.456433333,2011-08-01
896,2011,8,60590320131000,404961.0,5.17,1380,65,276.0,205,0.297390886579,1847.97146235,2011-08-01
897,2011,8,60590320131001,302449.0,5.13,1495,68,289.0,237,0.198366546977,1557.16969765,2011-08-01
898,2011,8,60590320131003,269000.0,5.45,1050,58,237.0,163,0.374309940328,1336.9254902,2011-08-01
901,2011,8,60590320132000,266709.0,5.19,1133,47,202.0,191,0.0559942693546,1344.13666941,2011-08-01
902,2011,8,60590320132001,389483.0,5.19,1980,91,376.0,318,0.16753776061,2049.08176824,2011-08-01
903,2011,8,60590320132002,36933.0,5.13,182,10,42.0,29,0.370373788297,190.281448235,2011-08-01
904,2011,8,60590320132003,64583.0,5.05,328,15,66.0,54,0.200670695462,336.547080392,2011-08-01
905,2011,8,60590320132004,40471.0,5.05,237,11,55.0,40,0.318453731119,224.487660784,2011-08-01
906,2011,8,60590320132005,210079.0,5.13,995,41,183.0,149,0.205539846896,1047.14665059,2011-08-01
907,2011,8,60590320132006,81615.0,5.05,395,23,94.0,73,0.252835341122,435.799911765,2011-08-01
908,2011,8,60590320132007,231233.0,5.13,778,38,153.0,137,0.110456995564,1093.02274235,2011-08-01
909,2011,8,60590320132008,57547.0,5.13,311,14,63.0,39,0.479573080262,282.840151765,2011-08-01
910,2011,8,60590320132009,203843.0,5.13,1022,44,188.0,153,0.206004041438,1034.64306,2011-08-01
911,2011,8,60590320133009,144679.0,5.19,820,29,121.0,237,-0.672269595538,1023.38345765,2011-08-01
912,2011,8,60590320133010,101142.0,5.19,543,14,60.0,49,0.202524264111,458.039555294,2011-08-01
913,2011,8,60590320133013,1840.0,5.19,486,93,290.0,532,-0.606762566361,1179.89581176,2011-08-01
914,2011,8,60590320133016,285406.0,5.19,2090,137,485.0,541,-0.109270387909,2180.88711294,2011-08-01
916,2011,8,60590320133022,125461.0,5.19,830,38,163.0,158,0.0311551677798,782.624471765,2011-08-01
917,2011,8,60590320222003,19800.0,5.6,385,52,164.0,225,-0.31623397438,570.243529412,2011-08-01
918,2011,8,60590320222004,38182.0,5.04,593,110,335.0,708,-0.748313561869,1690.05622588,2011-08-01
919,2011,8,60590320222006,3400.0,5.04,70,18,54.0,51,0.0571584138399,123.924,2011-08-01
924,2011,8,60590320222012,1200.0,5.04,52,13,39.0,45,-0.143100843641,103.296705882,2011-08-01
925,2011,8,60590320222014,4000.0,5.04,68,12,37.0,61,-0.499955951529,147.998823529,2011-08-01
926,2011,8,60590320222015,3500.0,5.04,61,11,34.0,46,-0.302280871873,113.230588235,2011-08-01
927,2011,8,60590320222016,4100.0,5.04,106,15,49.0,43,0.130620182417,108.628941176,2011-08-01
928,2011,8,60590320222017,5300.0,5.04,242,19,62.0,69,-0.106972119552,170.013882353,2011-08-01
929,2011,8,60590320222018,3189.0,5.04,79,12,37.0,52,-0.340325805937,125.420922353,2011-08-01
930,2011,8,60590320223009,109090.0,4.99,572,28,118.0,207,-0.5620341688,819.523713725,2011-08-01
931,2011,8,60590320223010,81663.0,4.99,495,30,132.0,116,0.12921173148,527.547932941,2011-08-01
932,2011,8,60590320223022,213207.0,4.94,1082,62,254.0,216,0.162055859334,1178.63230824,2011-08-01
933,2011,8,60590320223023,50493.0,4.94,257,18,75.0,75,0.0,331.731456471,2011-08-01
934,2011,8,60590320223024,39250.0,4.94,173,11,45.0,37,0.195744577126,210.880980392,2011-08-01
935,2011,8,60590320223025,120203.0,5.38,626,34,145.0,98,0.39176626375,647.304563922,2011-08-01
936,2011,8,60590320223032,122057.0,4.99,716,41,165.0,194,-0.161912685163,833.984129804,2011-08-01
937,2011,8,60590320223033,39424.0,4.99,252,16,65.0,59,0.0968498259899,261.29756549,2011-08-01
938,2011,8,60590320271006,9540.0,5.42,689,120,380.0,816,-0.764243102244,1834.4712,2011-08-01
939,2011,8,60590320271009,11850.0,5.42,843,139,456.0,883,-0.66083239109,1990.61211765,2011-08-01
941,2011,8,60590320271011,4700.0,5.42,397,59,202.0,215,-0.0623703307265,491.247372549,2011-08-01
943,2011,8,60590320281002,124368.0,5.49,545,38,161.0,159,0.0125001627642,805.922174118,2011-08-01
944,2011,8,60590320281003,55611.0,5.49,213,15,64.0,70,-0.0896121586897,357.948024706,2011-08-01
